source_row_id,customer_id,customer_type,segment,region,risk_band,onboarding_date,status,updated_at
customers-000001,CU-00001,individual,mass,east,low,2026-01-01,active,2026-01-01T00:00:00Z
customers-000002,CU-00002,small_business,business,east,medium,2026-01-02,active,2026-01-01T00:17:00Z
customers-000003,CU-00003,individual,business,east,low,2026-01-03,active,2026-01-01T00:34:00Z
customers-000004,CU-00004,individual,business,west,low,2026-01-04,active,2026-01-01T00:51:00Z
customers-000005,CU-00005,individual,affluent,east,high,2026-01-05,active,2026-01-01T01:08:00Z
customers-000006,CU-00006,small_business,mass,south,medium,2026-01-06,active,2026-01-01T01:25:00Z
customers-000007,CU-00007,small_business,mass,south,low,2026-01-07,active,2026-01-01T01:42:00Z
customers-000008,CU-00008,small_business, AFFLUENT ,west,medium,2026-01-08,active,2026-01-01T01:59:00Z
customers-000009,CU-00009,small_business,business,north,low,2026-01-09,active,2026-01-01T02:16:00Z
customers-000010,CU-00010,small_business,mass,west,low,2026-01-10,active,2026-01-01T02:33:00Z
customers-000011,CU-00011,individual,mass,west,low,2026-01-11,active,2026-01-01T02:50:00Z
customers-000012,CU-00012,individual,mass,south,high,2026-01-12,active,2026-01-01T03:07:00Z
customers-000013,CU-00013,small_business,affluent,east,medium,2026-01-13,active,2026-01-01T03:24:00Z
customers-000014,CU-00014,individual,affluent,south,low,2026-01-14,active,2026-01-01T03:41:00Z
customers-000015,CU-00015,individual,business,south,medium,2026-01-15,active,2026-01-01T03:58:00Z
customers-000016,CU-00016,individual,affluent,west,medium,2026-01-16,active,2026-01-01T04:15:00Z
customers-000017,CU-00017,small_business,business,east,medium,2026-01-17,active,2026-01-01T04:32:00Z
customers-000018,CU-00018,individual,mass,south,high,2026-01-18,active,2026-01-01T04:49:00Z
customers-000019,CU-00019,individual,affluent,south,medium,2026-01-19,active,2026-01-01T05:06:00Z
customers-000020,CU-00020,individual,affluent,west,medium,2026-01-20,active,2026-01-01T05:23:00Z
customers-000021,CU-00021,small_business,business,east,medium,2026-01-21,active,2026-01-01T05:40:00Z
customers-000022,CU-00022,individual,business,south,low,2026-01-22,active,2026-01-01T05:57:00Z
customers-000023,CU-00023,individual,business,east,medium,2026-01-23,active,2026-01-01T06:14:00Z
customers-000024,CU-00024,individual,mass,south,medium,2026-01-24,active,2026-01-01T06:31:00Z
customers-000025,CU-00025,small_business,affluent,south,high,2026-01-25,active,2026-01-01T06:48:00Z
customers-000026,CU-00026,individual,business,west,low,2026-01-26,active,2026-01-01T07:05:00Z
customers-000027,CU-00027,individual,affluent,west,low,2026-01-27,active,2026-01-01T07:22:00Z
customers-000028,CU-00028,small_business,business,west,medium,2026-01-28,active,2026-01-01T07:39:00Z
customers-000029,CU-00029,individual,affluent,east,high,2026-01-29,active,2026-01-01T07:56:00Z
customers-000030,CU-00030,individual,affluent,south,medium,2026-01-30,active,2026-01-01T08:13:00Z
