source_row_id,transaction_id,account_id,event_time,transaction_type,channel,merchant_category,currency,amount,status,updated_at
transactions-000001,TX-0000001,AC-00001,2026-01-01T00:00:00Z,refund,mobile,utilities,USD,73.00,posted,2026-01-01T00:00:00Z
transactions-000002,TX-0000002,AC-00002,2026-01-01T00:11:00Z,refund,mobile,grocery,USD,113.50,posted,2026-01-01T00:11:00Z
transactions-000003,TX-0000003,AC-00003,2026-01-01T00:22:00Z,debit,branch,travel,USD,93.00,posted,2026-01-01T00:22:00Z
transactions-000004,TX-0000004,AC-00004,2026-01-01T00:33:00Z,refund,card,travel,USD,148.00,posted,2026-01-01T00:33:00Z
transactions-000005,TX-0000005,AC-00005,2026-01-01T00:44:00Z,credit,atm,services,USD,126.00,posted,2026-01-01T00:44:00Z
transactions-000006,TX-0000006,AC-00006,2026-01-01T00:55:00Z,debit,card,travel,USD,112.00,posted,2026-01-01T00:55:00Z
transactions-000007,TX-0000007,AC-00007,2026-01-01T01:06:00Z,refund,branch,travel,USD,270.50,posted,2026-01-01T01:06:00Z
transactions-000008,TX-0000008,AC-00008,2026-01-01T01:17:00Z,debit,card,utilities,USD,107.25,posted,2026-01-01T01:17:00Z
transactions-000009,TX-0000009,AC-00009,2026-01-01T01:28:00Z,refund,mobile,grocery,USD,230.25,posted,2026-01-01T01:28:00Z
transactions-000010,TX-0000010,AC-00010,2026-01-01T01:39:00Z,refund,card,grocery,USD,225.75,posted,2026-01-01T01:39:00Z
transactions-000011,TX-0000011,AC-00011,2026-01-01T01:50:00Z,credit,card,grocery,USD,191.75,posted,2026-01-01T01:50:00Z
transactions-000012,TX-0000012,AC-00012,2026-01-01T02:01:00Z,refund,branch,services,USD,147.25,posted,2026-01-01T02:01:00Z
transactions-000013,TX-0000013,AC-00013,2026-01-01T02:12:00Z,debit,mobile,travel,USD,120.00,posted,2026-01-01T02:12:00Z
transactions-000014,TX-0000014,AC-00014,2026-01-01T02:23:00Z,refund,atm,grocery,USD,36.25,posted,2026-01-01T02:23:00Z
transactions-000015,TX-0000015,AC-00015,2026-01-01T02:34:00Z,credit,branch,services,USD,163.25,posted,2026-01-01T02:34:00Z
transactions-000016,TX-0000016,AC-00016,2026-01-01T02:45:00Z,credit,mobile,services,USD,14.00,posted,2026-01-01T02:45:00Z
transactions-000017,TX-0000017,AC-00017,2026-01-01T02:56:00Z,debit,atm,travel,USD,239.25,posted,2026-01-01T02:56:00Z
