source_row_id,provider_id,specialty,region,facility_type,daily_capacity,status,updated_at
providers-000001,PV-0001,pediatrics,west,clinic,8,active,2026-01-01T00:00:00Z
providers-000002,PV-0002,pediatrics,south,virtual,9,active,2026-01-01T00:17:00Z
providers-000003,PV-0003,primary_care,east,hospital,10,active,2026-01-01T00:34:00Z
providers-000004,PV-0004,pediatrics,north,hospital,11,active,2026-01-01T00:51:00Z
providers-000005,PV-0005,primary_care,west,virtual,12,active,2026-01-01T01:08:00Z
providers-000006,PV-0006,cardiology,south,clinic,13,active,2026-01-01T01:25:00Z
providers-000007,PV-0007,primary_care,west,hospital,14,active,2026-01-01T01:42:00Z
providers-000008,PV-0008,primary_care,north,clinic,15,active,2026-01-01T01:59:00Z
providers-000009,PV-0009,pediatrics,south,hospital,16,active,2026-01-01T02:16:00Z
providers-000010,PV-0010,pediatrics,east,clinic,17,active,2026-01-01T02:33:00Z
providers-000011,PV-0011,orthopedics,north,hospital,18,active,2026-01-01T02:50:00Z
providers-000012,PV-0012,pediatrics,east,hospital,19,active,2026-01-01T03:07:00Z
providers-000013,PV-0013,cardiology,south,hospital,20,active,2026-01-01T03:24:00Z
providers-000014,PV-0014,orthopedics,north,hospital,8,active,2026-01-01T03:41:00Z
providers-000015,PV-0015,pediatrics,west,clinic,9,active,2026-01-01T03:58:00Z
providers-000016,PV-0016,orthopedics,north,clinic,10,active,2026-01-01T04:15:00Z
providers-000017,PV-0017,cardiology,south,hospital,11,active,2026-01-01T04:32:00Z
providers-000018,PV-0018,orthopedics,south,hospital,12,active,2026-01-01T04:49:00Z
providers-000019,PV-0019,primary_care,east,clinic,13,active,2026-01-01T05:06:00Z
providers-000020,PV-0020,primary_care,east,hospital,14,active,2026-01-01T05:23:00Z
providers-000021,PV-0021,cardiology,north,hospital,15,active,2026-01-01T05:40:00Z
providers-000022,PV-0022,pediatrics,west,clinic,16,active,2026-01-01T05:57:00Z
providers-000023,PV-0023,primary_care,south,clinic,17,active,2026-01-01T06:14:00Z
providers-000024,PV-0024,pediatrics,east,clinic,18,active,2026-01-01T06:31:00Z
providers-000025,PV-0025,primary_care,east,virtual,19,active,2026-01-01T06:48:00Z
providers-000026,PV-0026,pediatrics,west,hospital,20,active,2026-01-01T07:05:00Z
providers-000027,PV-0027,cardiology,north,hospital,8,active,2026-01-01T07:22:00Z
providers-000028,PV-0028,orthopedics,east,virtual,9,active,2026-01-01T07:39:00Z
providers-000029,PV-0029,pediatrics,west,hospital,10,active,2026-01-01T07:56:00Z
providers-000030,PV-0030,orthopedics,east,virtual,11,active,2026-01-01T08:13:00Z
providers-000031,PV-0031,cardiology,west,virtual,12,active,2026-01-01T08:30:00Z
providers-000032,PV-0032,pediatrics,east,clinic,13,active,2026-01-01T08:47:00Z
providers-000033,PV-0033,orthopedics,east,hospital,14,active,2026-01-01T09:04:00Z
providers-000034,PV-0034,orthopedics,south,virtual,15,active,2026-01-01T09:21:00Z
providers-000035,PV-0035,orthopedics,west,virtual,16,active,2026-01-01T09:38:00Z
providers-000036,PV-0036,cardiology,east,hospital,17,active,2026-01-01T09:55:00Z
providers-000037,PV-0037,pediatrics,west,hospital,18,active,2026-01-01T10:12:00Z
providers-000038,PV-0038,cardiology,east,hospital,19,active,2026-01-01T10:29:00Z
providers-000039,PV-0039,orthopedics,south,hospital,20,active,2026-01-01T10:46:00Z
providers-000040,PV-0040,cardiology,south,hospital,8,active,2026-01-01T11:03:00Z
providers-000041,PV-0041,primary_care,east,hospital,9,active,2026-01-01T11:20:00Z
providers-000042,PV-0042,primary_care,south,virtual,10,active,2026-01-01T11:37:00Z
providers-000043,PV-0043,cardiology,south,hospital,11,active,2026-01-01T11:54:00Z
providers-000044,PV-0044,pediatrics,west,virtual,12,active,2026-01-01T12:11:00Z
providers-000045,PV-0045,primary_care,east,virtual,13,active,2026-01-01T12:28:00Z
providers-000046,PV-0046,cardiology,east,virtual,0,active,2026-01-01T12:45:00Z
providers-000047,PV-0047,orthopedics,north,virtual,15,active,2026-01-01T13:02:00Z
providers-000048,PV-0047,cardiology,north,clinic,16,active,2026-01-01T13:19:00Z
