source_row_id,customer_id,segment,region,loyalty_tier,signup_date,status,updated_at
customers-000001,RC-00001,small_business,east,gold,2026-01-01,active,2026-01-01T00:00:00Z
customers-000002,RC-00002,consumer,east,gold,2026-01-02,active,2026-01-01T00:17:00Z
customers-000003,RC-00003,small_business,east,standard,2026-01-03,active,2026-01-01T00:34:00Z
customers-000004,RC-00004,small_business,west,standard,2026-01-04,active,2026-01-01T00:51:00Z
customers-000005,RC-00005,consumer,east,silver,2026-01-05,active,2026-01-01T01:08:00Z
customers-000006,RC-00006,small_business,south,silver,2026-01-06,active,2026-01-01T01:25:00Z
customers-000007,RC-00007,small_business,south,silver,2026-01-07,active,2026-01-01T01:42:00Z
customers-000008,RC-00008,small_business,west,silver,2026-01-08,active,2026-01-01T01:59:00Z
customers-000009,RC-00009,consumer,north,silver,2026-01-09,active,2026-01-01T02:16:00Z
customers-000010,RC-00010,small_business,west,silver,2026-01-10,active,2026-01-01T02:33:00Z
customers-000011,RC-00011,consumer,west,standard,2026-01-11,active,2026-01-01T02:50:00Z
customers-000012,RC-00012,consumer,south, GOLD ,2026-01-12,active,2026-01-01T03:07:00Z
customers-000013,RC-00013,consumer,east,standard,2026-01-13,active,2026-01-01T03:24:00Z
customers-000014,RC-00014,small_business,south,gold,2026-01-14,active,2026-01-01T03:41:00Z
customers-000015,RC-00015,small_business,south,standard,2026-01-15,active,2026-01-01T03:58:00Z
customers-000016,RC-00016,small_business,west,gold,2026-01-16,active,2026-01-01T04:15:00Z
customers-000017,RC-00017,small_business,east,gold,2026-01-17,active,2026-01-01T04:32:00Z
customers-000018,RC-00018,small_business,south,silver,2026-01-18,active,2026-01-01T04:49:00Z
customers-000019,RC-00019,small_business,south,silver,2026-01-19,active,2026-01-01T05:06:00Z
customers-000020,RC-00020,consumer,west,gold,2026-01-20,active,2026-01-01T05:23:00Z
customers-000021,RC-00021,consumer,east,gold,2026-01-21,active,2026-01-01T05:40:00Z
customers-000022,RC-00022,consumer,south,gold,2026-01-22,active,2026-01-01T05:57:00Z
customers-000023,RC-00023,small_business,east,standard,2026-01-23,active,2026-01-01T06:14:00Z
customers-000024,RC-00024,small_business,south,standard,2026-01-24,active,2026-01-01T06:31:00Z
customers-000025,RC-00025,consumer,south,gold,2026-01-25,active,2026-01-01T06:48:00Z
customers-000026,RC-00026,consumer,west,gold,2026-01-26,active,2026-01-01T07:05:00Z
customers-000027,RC-00027,small_business,west,silver,2026-01-27,active,2026-01-01T07:22:00Z
customers-000028,RC-00028,consumer,west,silver,2026-01-28,active,2026-01-01T07:39:00Z
customers-000029,RC-00029,small_business,east,gold,2026-01-29,active,2026-01-01T07:56:00Z
customers-000030,RC-00030,consumer,south,gold,2026-01-30,active,2026-01-01T08:13:00Z
customers-000031,RC-00031,small_business,south,gold,2026-01-31,active,2026-01-01T08:30:00Z
customers-000032,RC-00032,consumer,south,gold,2026-01-01,active,2026-01-01T08:47:00Z
customers-000033,RC-00033,consumer,south,silver,2026-01-02,active,2026-01-01T09:04:00Z
customers-000034,RC-00034,consumer,north,gold,2026-01-03,active,2026-01-01T09:21:00Z
customers-000035,RC-00035,consumer,east,standard,2026-01-04,active,2026-01-01T09:38:00Z
customers-000036,RC-00036,small_business,south,silver,2026-01-05,active,2026-01-01T09:55:00Z
customers-000037,RC-00037,small_business,north,standard,2026-01-06,active,2026-01-01T10:12:00Z
customers-000038,RC-00038,small_business,south,silver,2026-01-07,active,2026-01-01T10:29:00Z
customers-000039,RC-00039,consumer,west,standard,2026-01-08,active,2026-01-01T10:46:00Z
customers-000040,RC-00040,consumer,west,silver,2026-01-09,active,2026-01-01T11:03:00Z
customers-000041,RC-00041,small_business,west,silver,2026-01-10,active,2026-01-01T11:20:00Z
customers-000042,RC-00042,consumer,north,gold,2026-01-11,active,2026-01-01T11:37:00Z
customers-000043,RC-00043,consumer,south,silver,2026-01-12,active,2026-01-01T11:54:00Z
customers-000044,RC-00044,small_business,north,gold,2026-01-13,active,2026-01-01T12:11:00Z
customers-000045,RC-00045,small_business,west,gold,2026-01-14,active,2026-01-01T12:28:00Z
customers-000046,RC-00046,consumer,east,standard,2026-01-15,active,2026-01-01T12:45:00Z
customers-000047,RC-00047,consumer,east,silver,2026-01-16,active,2026-01-01T13:02:00Z
customers-000048,RC-00048,consumer,east,standard,2026-01-17,active,2026-01-01T13:19:00Z
customers-000049,RC-00049,consumer,west,standard,2026-01-18,active,2026-01-01T13:36:00Z
customers-000050,RC-00050,small_business,west,gold,2026-01-19,active,2026-01-01T13:53:00Z
customers-000051,RC-00051,small_business,west,silver,2026-01-20,active,2026-01-01T14:10:00Z
customers-000052,RC-00052,consumer,south,gold,2026-01-21,active,2026-01-01T14:27:00Z
customers-000053,RC-00053,small_business,east,gold,2026-01-22,active,2026-01-01T14:44:00Z
customers-000054,RC-00054,consumer,west,standard,2026-01-23,active,2026-01-01T15:01:00Z
customers-000055,RC-00055,consumer,west,standard,2026-01-24,active,2026-01-01T15:18:00Z
customers-000056,RC-00056,small_business,north,standard,2026-01-25,active,2026-01-01T15:35:00Z
customers-000057,RC-00057,small_business,west,standard,2026-01-26,active,2026-01-01T15:52:00Z
customers-000058,RC-00058,small_business,south,silver,2026-01-27,active,2026-01-01T16:09:00Z
customers-000059,RC-00059,consumer,north,gold,2026-01-28,active,2026-01-01T16:26:00Z
customers-000060,RC-00060,small_business,south,standard,2026-01-29,active,2026-01-01T16:43:00Z
customers-000061,RC-00061,consumer,south,gold,2026-01-30,active,2026-01-01T17:00:00Z
customers-000062,RC-00062,small_business,west,gold,2026-01-31,active,2026-01-01T17:17:00Z
customers-000063,RC-00063,small_business,east,silver,2026-01-01,active,2026-01-01T17:34:00Z
customers-000064,RC-00064,consumer,south,gold,2026-01-02,active,2026-01-01T17:51:00Z
customers-000065,RC-00065,consumer,north,gold,2026-01-03,active,2026-01-01T18:08:00Z
customers-000066,RC-00066,consumer,south,gold,2026-01-04,active,2026-01-01T18:25:00Z
customers-000067,RC-00067,small_business,south,standard,2026-01-05,active,2026-01-01T18:42:00Z
customers-000068,RC-00068,small_business,east,silver,2026-01-06,active,2026-01-01T18:59:00Z
customers-000069,RC-00069,consumer,west,silver,2026-01-07,active,2026-01-01T19:16:00Z
customers-000070,RC-00070,consumer,west,gold,2026-01-08,active,2026-01-01T19:33:00Z
customers-000071,RC-00071,small_business,east,silver,2026-01-09,active,2026-01-01T19:50:00Z
customers-000072,RC-00072,consumer,north,gold,2026-01-10,active,2026-01-01T20:07:00Z
customers-000073,RC-00073,small_business,south,silver,2026-01-11,active,2026-01-01T20:24:00Z
customers-000074,RC-00074,small_business,east,standard,2026-01-12,active,2026-01-01T20:41:00Z
customers-000075,RC-00075,consumer,east,standard,2026-01-13,active,2026-01-01T20:58:00Z
customers-000076,RC-00076,small_business,east,silver,2026-01-14,active,2026-01-01T21:15:00Z
customers-000077,RC-00077,small_business,west,standard,2026-01-15,active,2026-01-01T21:32:00Z
customers-000078,RC-00078,consumer,south,silver,2026-01-16,active,2026-01-01T21:49:00Z
customers-000079,RC-00079,small_business,north,silver,2026-01-17,active,2026-01-01T22:06:00Z
customers-000080,RC-00080,small_business,north,gold,2026-01-18,active,2026-01-01T22:23:00Z
customers-000081,RC-00081,consumer,north,silver,2026-01-19,active,2026-01-01T22:40:00Z
customers-000082,RC-00082,small_business,north,gold,2026-01-20,active,2026-01-01T22:57:00Z
customers-000083,RC-00083,small_business,east,silver,2026-01-21,active,2026-01-01T23:14:00Z
customers-000084,RC-00084,consumer,west,gold,2026-01-22,active,2026-01-01T23:31:00Z
customers-000085,RC-00085,consumer,east,silver,2026-01-23,active,2026-01-01T23:48:00Z
