source_row_id,order_id,line_number,product_id,quantity,unit_price,discount_amount,updated_at
order_items-000001,OR-000001,1,PR-00001,1,80.00,4.00,2026-01-01T00:00:00Z
order_items-000002,OR-000002,1,PR-00002,2,258.00,9.00,2026-01-01T00:13:00Z
order_items-000003,OR-000003,1,PR-00003,1,152.00,6.00,2026-01-01T00:26:00Z
order_items-000004,OR-000004,1,PR-00004,3,78.00,10.00,2026-01-01T00:39:00Z
order_items-000005,OR-000005,1,PR-00005,4,20.00,4.00,2026-01-01T00:52:00Z
order_items-000006,OR-000006,1,PR-00006,2,217.00,1.00,2026-01-01T01:05:00Z
order_items-000007,OR-000007,1,PR-00007,2,252.00,6.00,2026-01-01T01:18:00Z
order_items-000008,OR-000008,1,PR-00008,2,220.00,3.00,2026-01-01T01:31:00Z
order_items-000009,OR-000009,1,PR-00009,2,194.00,2.00,2026-01-01T01:44:00Z
order_items-000010,OR-000010,1,PR-00010,2,95.00,4.00,2026-01-01T01:57:00Z
order_items-000011,OR-000011,1,PR-00011,4,273.00,8.00,2026-01-01T02:10:00Z
order_items-000012,OR-000012,1,PR-00012,1,77.00,10.00,2026-01-01T02:23:00Z
order_items-000013,OR-000013,1,PR-00013,3,224.00,3.00,2026-01-01T02:36:00Z
order_items-000014,OR-000014,1,PR-00014,2,15.00,10.00,2026-01-01T02:49:00Z
order_items-000015,OR-000015,1,PR-00015,2,57.00,9.00,2026-01-01T03:02:00Z
order_items-000016,OR-000016,1,PR-00016,1,254.00,8.00,2026-01-01T03:15:00Z
order_items-000017,OR-000017,1,PR-00017,1,78.00,1.00,2026-01-01T03:28:00Z
order_items-000018,OR-000018,1,PR-00018,4,156.00,10.00,2026-01-01T03:41:00Z
order_items-000019,OR-000019,1,PR-00019,1,64.00,10.00,2026-01-01T03:54:00Z
order_items-000020,OR-000020,1,PR-00020,1,157.00,2.00,2026-01-01T04:07:00Z
order_items-000021,OR-000021,1,PR-00021,1,95.00,9.00,2026-01-01T04:20:00Z
order_items-000022,OR-000022,1,PR-00022,2,132.00,7.00,2026-01-01T04:33:00Z
order_items-000023,OR-000023,1,PR-00023,1,66.00,6.00,2026-01-01T04:46:00Z
order_items-000024,OR-000024,1,PR-00024,4,36.00,0.00,2026-01-01T04:59:00Z
order_items-000025,OR-000025,1,PR-00025,2,245.00,4.00,2026-01-01T05:12:00Z
order_items-000026,OR-000026,1,PR-00026,3,117.00,0.00,2026-01-01T05:25:00Z
order_items-000027,OR-000027,1,PR-00027,3,94.00,10.00,2026-01-01T05:38:00Z
order_items-000028,OR-000028,1,PR-00028,1,231.00,10.00,2026-01-01T05:51:00Z
order_items-000029,OR-000029,1,PR-00029,4,75.00,4.00,2026-01-01T06:04:00Z
order_items-000030,OR-000030,1,PR-00030,2,238.00,10.00,2026-01-01T06:17:00Z
order_items-000031,OR-000031,1,PR-00031,2,297.00,10.00,2026-01-01T06:30:00Z
order_items-000032,OR-000032,1,PR-00032,2,199.00,9.00,2026-01-01T06:43:00Z
order_items-000033,OR-000033,1,PR-00033,3,46.00,5.00,2026-01-01T06:56:00Z
