source_row_id,order_id,customer_id,order_time,channel,region,currency,order_status,discount_amount,declared_total,updated_at
orders-000001,OR-000001,RC-00001,2026-01-01T00:00:00Z,store,north,USD,refunded,2.00,344.00,2026-01-01T00:00:00Z
orders-000002,OR-000002,RC-00002,2026-01-01T00:29:00Z,mobile,south,USD,completed,1.00,477.00,2026-01-01T00:29:00Z
orders-000003,OR-000003,RC-00003,2026-01-01T00:58:00Z,store,north,USD,refunded,15.00,110.00,2026-01-01T00:58:00Z
orders-000004,OR-000004,RC-00004,2026-01-01T01:27:00Z,mobile,west,USD,refunded,16.00,391.00,2026-01-01T01:27:00Z
orders-000005,OR-000005,RC-00005,2026-01-01T01:56:00Z,web,north,USD,completed,9.00,197.00,2026-01-01T01:56:00Z
orders-000006,OR-000006,RC-00006,2026-01-01T02:25:00Z,store,south,USD,refunded,3.00,72.00,2026-01-01T02:25:00Z
orders-000007,OR-000007,RC-00007,2026-01-01T02:54:00Z,store,north,USD,completed,12.00,91.00,2026-01-01T02:54:00Z
orders-000008,OR-000008,RC-00008,2026-01-01T03:23:00Z,mobile,north,USD,completed,10.00,68.00,2026-01-01T03:23:00Z
orders-000009,OR-000009,RC-00009,2026-01-01T03:52:00Z,mobile,west,USD,completed,16.00,170.00,2026-01-01T03:52:00Z
orders-000010,OR-000010,RC-00010,2026-01-01T04:21:00Z,store,east,USD,completed,11.00,194.00,2026-01-01T04:21:00Z
orders-000011,OR-000011,RC-00011,2026-01-01T04:50:00Z,mobile,north,USD,completed,4.00,106.00,2026-01-01T04:50:00Z
orders-000012,OR-000012,RC-00012,2026-01-01T05:19:00Z,store,west,USD,completed,2.00,394.00,2026-01-01T05:19:00Z
orders-000013,OR-000013,RC-00013,2026-01-01T05:48:00Z,store,west,USD,refunded,20.00,306.00,2026-01-01T05:48:00Z
orders-000014,OR-000014,RC-00014,2026-01-01T06:17:00Z,mobile,north,USD,completed,4.00,121.00,2026-01-01T06:17:00Z
orders-000015,OR-000015,RC-00015,2026-01-01T06:46:00Z,store,south,USD,completed,9.00,43.00,2026-01-01T06:46:00Z
orders-000016,OR-000016,RC-00016,2026-01-01T07:15:00Z,web,west,USD,completed,12.00,233.00,2026-01-01T07:15:00Z
orders-000017,OR-000017,RC-00017,2026-01-01T07:44:00Z,mobile,east,USD,completed,15.00,56.00,2026-01-01T07:44:00Z
orders-000018,OR-000018,RC-00018,2026-01-01T08:13:00Z,web,east,USD,completed,2.00,220.00,2026-01-01T08:13:00Z
orders-000019,OR-000019,RC-00019,2026-01-01T08:42:00Z,mobile,west,USD,completed,13.00,472.00,2026-01-01T08:42:00Z
orders-000020,OR-000020,RC-00020,2026-01-01T09:11:00Z,mobile,east,USD,completed,13.00,206.00,2026-01-01T09:11:00Z
orders-000021,OR-000021,RC-00021,2026-01-01T09:40:00Z,mobile,north,USD,completed,11.00,105.00,2026-01-01T09:40:00Z
orders-000022,OR-000022,RC-00022,2026-01-01T10:09:00Z,store,south,USD,refunded,18.00,422.00,2026-01-01T10:09:00Z
orders-000023,OR-000023,RC-00023,2026-01-01T10:38:00Z,web,south,USD,refunded,20.00,420.00,2026-01-01T10:38:00Z
orders-000024,OR-000024,RC-00024,2026-01-01T11:07:00Z,store,south,USD,completed,12.00,172.00,2026-01-01T11:07:00Z
orders-000025,OR-000025,RC-00025,2026-01-01T11:36:00Z,mobile,west,USD,refunded,18.00,231.00,2026-01-01T11:36:00Z
orders-000026,OR-000026,RC-00026,2026-01-01T12:05:00Z,store,north,USD,completed,16.00,51.00,2026-01-01T12:05:00Z
orders-000027,OR-000027,RC-00027,2026-01-01T12:34:00Z,web,south,USD,completed,14.00,320.00,2026-01-01T12:34:00Z
orders-000028,OR-000028,RC-00028,2026-01-01T13:03:00Z,mobile,north,USD,refunded,2.00,139.00,2026-01-01T13:03:00Z
orders-000029,OR-000029,RC-00029,2026-01-01T13:32:00Z,mobile,north,USD,completed,0.00,293.00,2026-01-01T13:32:00Z
orders-000030,OR-000030,RC-00030,2026-01-01T14:01:00Z,store,east,USD,completed,7.00,283.00,2026-01-01T14:01:00Z
orders-000031,OR-000031,RC-00031,2026-01-01T14:30:00Z,mobile,north,USD,completed,12.00,74.00,2026-01-01T14:30:00Z
orders-000032,OR-000032,RC-00032,2026-01-01T14:59:00Z,web,east,USD,refunded,14.00,376.00,2026-01-01T14:59:00Z
orders-000033,OR-000033,RC-00033,2026-01-01T15:28:00Z,mobile,west,USD,completed,19.00,315.00,2026-01-01T15:28:00Z
orders-000034,OR-000034,RC-00034,2026-01-01T15:57:00Z,mobile,north,USD,refunded,19.00,240.00,2026-01-01T15:57:00Z
orders-000035,OR-000035,RC-00035,2026-01-01T16:26:00Z,mobile,east,USD,refunded,2.00,435.00,2026-01-01T16:26:00Z
orders-000036,OR-000036,RC-00036,2026-01-01T16:55:00Z,store,east,USD,refunded,13.00,24.00,2026-01-01T16:55:00Z
orders-000037,OR-000037,RC-00037,2026-01-01T17:24:00Z,web,east,USD,completed,18.00,188.00,2026-01-01T17:24:00Z
orders-000038,OR-000038,RC-00038,2026-01-01T17:53:00Z,mobile,south,USD,refunded,9.00,289.00,2026-01-01T17:53:00Z
orders-000039,OR-000039,RC-00039,2026-01-01T18:22:00Z,mobile,south,USD,completed,3.00,224.00,2026-01-01T18:22:00Z
orders-000040,OR-000040,RC-00040,2026-01-01T18:51:00Z,mobile,east,USD,completed,7.00,118.00,2026-01-01T18:51:00Z
orders-000041,OR-000041,RC-00041,2026-01-01T19:20:00Z,store,east,USD,completed,12.00,341.00,2026-01-01T19:20:00Z
orders-000042,OR-000042,RC-00042,2026-01-01T19:49:00Z,store,east,USD,refunded,9.00,199.00,2026-01-01T19:49:00Z
orders-000043,OR-000043,RC-00043,2026-01-01T20:18:00Z,store,north,USD,completed,9.00,384.00,2026-01-01T20:18:00Z
orders-000044,OR-000044,RC-00044,2026-01-01T20:47:00Z,mobile,east,USD,completed,2.00,182.00,2026-01-01T20:47:00Z
orders-000045,OR-000045,RC-00045,2026-01-01T21:16:00Z,mobile,south,USD,completed,11.00,464.00,2026-01-01T21:16:00Z
orders-000046,OR-000046,RC-00046,2026-01-01T21:45:00Z,store,north,USD,refunded,17.00,159.00,2026-01-01T21:45:00Z
orders-000047,OR-000047,RC-00047,2026-01-01T22:14:00Z,mobile,west,USD,completed,16.00,323.00,2026-01-01T22:14:00Z
orders-000048,OR-000048,RC-00048,2026-01-01T22:43:00Z,store,west,USD,refunded,10.00,500.00,2026-01-01T22:43:00Z
orders-000049,OR-000049,RC-00049,2026-01-01T23:12:00Z,mobile,east,USD,refunded,6.00,394.00,2026-01-01T23:12:00Z
orders-000050,OR-000050,RC-00050,2026-01-01T23:41:00Z,web,south,USD,completed,7.00,84.00,2026-01-01T23:41:00Z
orders-000051,OR-000051,RC-00051,2026-01-02T00:10:00Z,mobile,west,USD,refunded,12.00,334.00,2026-01-02T00:10:00Z
orders-000052,OR-000052,RC-00052,2026-01-02T00:39:00Z,store,south,USD,completed,14.00,135.00,2026-01-02T00:39:00Z
orders-000053,OR-000053,RC-00053,2026-01-02T01:08:00Z,mobile,north,USD,refunded,4.00,264.00,2026-01-02T01:08:00Z
orders-000054,OR-000054,RC-00054,2026-01-02T01:37:00Z,store,west,USD,refunded,4.00,261.00,2026-01-02T01:37:00Z
orders-000055,OR-000055,RC-00055,2026-01-02T02:06:00Z,web,south,USD,refunded,19.00,374.00,2026-01-02T02:06:00Z
orders-000056,OR-000056,RC-00056,2026-01-02T02:35:00Z,mobile,south,USD,completed,12.00,266.00,2026-01-02T02:35:00Z
orders-000057,OR-000057,RC-00057,2026-01-02T03:04:00Z,mobile,north,USD,completed,8.00,64.00,2026-01-02T03:04:00Z
orders-000058,OR-000058,RC-00058,2026-01-02T03:33:00Z,store,south,USD,completed,11.00,301.00,2026-01-02T03:33:00Z
orders-000059,OR-000059,RC-00059,2026-01-02T04:02:00Z,store,east,USD,completed,19.00,214.00,2026-01-02T04:02:00Z
orders-000060,OR-000060,RC-00060,2026-01-02T04:31:00Z,mobile,west,USD,completed,13.00,398.00,2026-01-02T04:31:00Z
orders-000061,OR-000061,RC-00061,2026-01-02T05:00:00Z,web,south,USD,completed,10.00,242.00,2026-01-02T05:00:00Z
