"S.No.","DisplayName","Type","Depth","Direction","Path"
"1","u101_telco_lineage_customer_360","Table","0","null","aidp_lab.oci_gold.u101_telco_lineage_customer_360"
"2","11_gold_customer_360","Task","1","Upstream","wf_u101_telco_lineage/11_gold_customer_360"
"3","u101_telco_lineage_customer_addresses","Table","2","Upstream","aidp_lab.oci_silver.u101_telco_lineage_customer_addresses"
"4","u101_telco_lineage_service_ownership","Table","2","Upstream","aidp_lab.oci_silver.u101_telco_lineage_service_ownership"
"5","u101_telco_lineage_customer_master","Table","2","Upstream","aidp_lab.oci_silver.u101_telco_lineage_customer_master"
"6","10_silver_ownership_quality","Task","3","Upstream","wf_u101_telco_lineage/10_silver_ownership_quality"
"7","06_silver_customer","Task","3","Upstream","wf_u101_telco_lineage/06_silver_customer"
"8","u101_telco_lineage_crm_customers","Table","4","Upstream","aidp_lab.oci_bronze.u101_telco_lineage_crm_customers"
"9","u101_telco_lineage_home_service","Table","4","Upstream","aidp_lab.oci_silver.u101_telco_lineage_home_service"
"10","u101_telco_lineage_prepaid_service","Table","4","Upstream","aidp_lab.oci_silver.u101_telco_lineage_prepaid_service"
"11","u101_telco_lineage_postpaid_service","Table","4","Upstream","aidp_lab.oci_silver.u101_telco_lineage_postpaid_service"
"12","u101_telco_lineage_crm_addresses","Table","4","Upstream","aidp_lab.oci_bronze.u101_telco_lineage_crm_addresses"
"13","08_silver_postpaid","Task","5","Upstream","wf_u101_telco_lineage/08_silver_postpaid"
"14","09_silver_home","Task","5","Upstream","wf_u101_telco_lineage/09_silver_home"
"15","07_silver_prepaid","Task","5","Upstream","wf_u101_telco_lineage/07_silver_prepaid"
"16","02_bronze_crm_products","Task","5","Upstream","wf_u101_telco_lineage/02_bronze_crm_products"
"17","u101_telco_lineage_home_services","Table","6","Upstream","aidp_lab.oci_bronze.u101_telco_lineage_home_services"
"18","u101_telco_lineage_prepaid_recharges","Table","6","Upstream","aidp_lab.oci_bronze.u101_telco_lineage_prepaid_recharges"
"19","u101_telco_lineage_postpaid_lines","Table","6","Upstream","aidp_lab.oci_bronze.u101_telco_lineage_postpaid_lines"
"20","u101_telco_lineage_home_installations","Table","6","Upstream","aidp_lab.oci_bronze.u101_telco_lineage_home_installations"
"21","u101_telco_lineage_crm_addresses","Table","6","Upstream","aidp_lab.oci_landing.u101_telco_lineage_crm_addresses"
"22","u101_telco_lineage_product_catalog","Table","6","Upstream","aidp_lab.oci_silver.u101_telco_lineage_product_catalog"
"23","u101_telco_lineage_postpaid_accounts","Table","6","Upstream","aidp_lab.oci_bronze.u101_telco_lineage_postpaid_accounts"
"24","u101_telco_lineage_postpaid_invoices","Table","6","Upstream","aidp_lab.oci_bronze.u101_telco_lineage_postpaid_invoices"
"25","u101_telco_lineage_prepaid_lines","Table","6","Upstream","aidp_lab.oci_bronze.u101_telco_lineage_prepaid_lines"
"26","u101_telco_lineage_crm_customers","Table","6","Upstream","aidp_lab.oci_landing.u101_telco_lineage_crm_customers"
"27","05_bronze_home","Task","7","Upstream","wf_u101_telco_lineage/05_bronze_home"
"28","01_landing_telco_lineage","Task","7","Upstream","wf_u101_telco_lineage/01_landing_telco_lineage"
"29","04_bronze_postpaid","Task","7","Upstream","wf_u101_telco_lineage/04_bronze_postpaid"
"30","03_bronze_prepaid","Task","7","Upstream","wf_u101_telco_lineage/03_bronze_prepaid"
"31","06_silver_customer","Task","7","Upstream","wf_u101_telco_lineage/06_silver_customer"
"32","u101_telco_lineage_prepaid_recharges","Table","8","Upstream","aidp_lab.oci_landing.u101_telco_lineage_prepaid_recharges"
"33","u101_telco_lineage_prepaid_lines","Table","8","Upstream","aidp_lab.oci_landing.u101_telco_lineage_prepaid_lines"
"34","u101_telco_lineage_postpaid_lines","Table","8","Upstream","aidp_lab.oci_landing.u101_telco_lineage_postpaid_lines"
"35","u101_telco_lineage_product_catalog","Table","8","Upstream","aidp_lab.oci_bronze.u101_telco_lineage_product_catalog"
"36","u101_telco_lineage_postpaid_invoices","Table","8","Upstream","aidp_lab.oci_landing.u101_telco_lineage_postpaid_invoices"
"37","csv","Dataset","8","Upstream","/Workspace/medallon/u101_<email>/telco_lineage/source/crm_addresses.csv"
"38","u101_telco_lineage_home_services","Table","8","Upstream","aidp_lab.oci_landing.u101_telco_lineage_home_services"
"39","u101_telco_lineage_postpaid_accounts","Table","8","Upstream","aidp_lab.oci_landing.u101_telco_lineage_postpaid_accounts"
"40","u101_telco_lineage_home_installations","Table","8","Upstream","aidp_lab.oci_landing.u101_telco_lineage_home_installations"
"41","csv","Dataset","8","Upstream","/Workspace/medallon/u101_<email>/telco_lineage/source/crm_customers.csv"
"42","01_landing_telco_lineage","Task","9","Upstream","wf_u101_telco_lineage/01_landing_telco_lineage"
"43","02_bronze_crm_products","Task","9","Upstream","wf_u101_telco_lineage/02_bronze_crm_products"
"44","u101_telco_lineage_product_catalog","Table","10","Upstream","aidp_lab.oci_landing.u101_telco_lineage_product_catalog"
"45","csv","Dataset","10","Upstream","/Workspace/medallon/u101_<email>/telco_lineage/source/prepaid_recharges.csv"
"46","csv","Dataset","10","Upstream","/Workspace/medallon/u101_<email>/telco_lineage/source/postpaid_invoices.csv"
"47","csv","Dataset","10","Upstream","/Workspace/medallon/u101_<email>/telco_lineage/source/prepaid_lines.csv"
"48","csv","Dataset","10","Upstream","/Workspace/medallon/u101_<email>/telco_lineage/source/postpaid_accounts.csv"
"49","csv","Dataset","10","Upstream","/Workspace/medallon/u101_<email>/telco_lineage/source/home_installations.csv"
"50","csv","Dataset","10","Upstream","/Workspace/medallon/u101_<email>/telco_lineage/source/home_services.csv"
"51","csv","Dataset","10","Upstream","/Workspace/medallon/u101_<email>/telco_lineage/source/postpaid_lines.csv"
"52","01_landing_telco_lineage","Task","11","Upstream","wf_u101_telco_lineage/01_landing_telco_lineage"
"53","csv","Dataset","12","Upstream","/Workspace/medallon/u101_<email>/telco_lineage/source/product_catalog.csv"
"54","13_gold_geographic_summary","Task","1","Downstream","wf_u101_telco_lineage/13_gold_geographic_summary"
"55","u101_telco_lineage_geographic_service_summary","Table","2","Downstream","aidp_lab.oci_gold.u101_telco_lineage_geographic_service_summary"
