source_row_id,installation_id,service_id,address_id,technology,installed_at,updated_at
SRC-HI-0001,HI0001,HS0001,A0001,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0002,HI0002,HS0002,A0002,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0003,HI0003,HS0003,A0003,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0004,HI0004,HS0004,A0004,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0005,HI0005,HS0005,A0005,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0006,HI0006,HS0006,A0006,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0007,HI0007,HS0007,A0007,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0008,HI0008,HS0008,A0008,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0009,HI0009,HS0009,A0009,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0010,HI0010,HS0010,A0010,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0011,HI0011,HS0011,A0011,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0012,HI0012,HS0012,A0012,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0013,HI0013,HS0013,A0013,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0014,HI0014,HS0014,A0014,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0015,HI0015,HS0015,A0015,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0016,HI0016,HS0016,A0016,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0017,HI0017,HS0017,A0017,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0018,HI0018,HS0018,A0018,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0019,HI0019,HS0019,A0019,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0020,HI0020,HS0020,A0020,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0021,HI0021,HS0021,A0021,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0022,HI0022,HS0022,A0022,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0023,HI0023,HS0023,A0023,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0024,HI0024,HS0024,A0024,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0025,HI0025,HS0025,A0025,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0026,HI0026,HS0026,A0026,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0027,HI0027,HS0027,A0027,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0028,HI0028,HS0028,A0028,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0029,HI0029,HS0029,A0029,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0030,HI0030,HS0030,A0030,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0031,HI0031,HS0031,A0031,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0032,HI0032,HS0032,A0032,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0033,HI0033,HS0033,A0033,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0034,HI0034,HS0034,A0034,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0035,HI0035,HS0035,A0035,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0036,HI0036,HS0036,A0036,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0037,HI0037,HS0037,A0037,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0038,HI0038,HS0038,A0038,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0039,HI0039,HS0039,A0039,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0040,HI0040,HS0040,A0040,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0041,HI0041,HS0041,A0041,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0042,HI0042,HS0042,A0042,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0043,HI0043,HS0043,A0043,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0044,HI0044,HS0044,A0044,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0045,HI0045,HS0045,A0045,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0046,HI0046,HS0046,A0046,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0047,HI0047,HS0047,A0047,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0048,HI0048,HS0048,A0048,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0049,HI0049,HS0049,A0049,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0050,HI0050,HS0050,A0050,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0051,HI0051,HS0051,A0051,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0052,HI0052,HS0052,A0052,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0053,HI0053,HS0053,A0053,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0054,HI0054,HS0054,A0054,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0055,HI0055,HS0055,A0055,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0056,HI0056,HS0056,A0056,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0057,HI0057,HS0057,A0057,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0058,HI0058,HS0058,A0058,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0059,HI0059,HS0059,A0059,fiber,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0060,HI0060,HS0060,A0060,fixed-wireless,2025-01-15,2026-01-08T00:00:00Z
SRC-HI-0061,HI0061,HS0061,A0061,fiber,2025-01-15,2026-01-08T00:00:00Z
