source_row_id,service_id,customer_id,product_id,service_number,activation_date,status,updated_at
SRC-HS-0001,HS0001,C0001,HOME01,HOG000001,2023-01-10,active,2026-01-07T00:00:00Z
SRC-HS-0002,HS0002,C0002,HOME02,HOG000002,2023-02-10,active,2026-01-07T00:00:00Z
SRC-HS-0003,HS0003,C0003,HOME03,HOG000003,2023-03-10,active,2026-01-07T00:00:00Z
SRC-HS-0004,HS0004,C0004,HOME04,HOG000004,2023-04-10,active,2026-01-07T00:00:00Z
SRC-HS-0005,HS0005,C0005,HOME05,HOG000005,2023-05-10,active,2026-01-07T00:00:00Z
SRC-HS-0006,HS0006,C0006,HOME01,HOG000006,2023-06-10,active,2026-01-07T00:00:00Z
SRC-HS-0007,HS0007,C0007,HOME02,HOG000007,2023-07-10,active,2026-01-07T00:00:00Z
SRC-HS-0008,HS0008,C0008,HOME03,HOG000008,2023-08-10,active,2026-01-07T00:00:00Z
SRC-HS-0009,HS0009,C0009,HOME04,HOG000009,2023-09-10,active,2026-01-07T00:00:00Z
SRC-HS-0010,HS0010,C0010,HOME05,HOG000010,2023-10-10,active,2026-01-07T00:00:00Z
SRC-HS-0011,HS0011,C0011,HOME01,HOG000011,2023-11-10,active,2026-01-07T00:00:00Z
SRC-HS-0012,HS0012,C0012,HOME02,HOG000012,2023-12-10,active,2026-01-07T00:00:00Z
SRC-HS-0013,HS0013,C0013,HOME03,HOG000013,2023-01-10,active,2026-01-07T00:00:00Z
SRC-HS-0014,HS0014,C0014,HOME04,HOG000014,2023-02-10,active,2026-01-07T00:00:00Z
SRC-HS-0015,HS0015,C0015,HOME05,HOG000015,2023-03-10,active,2026-01-07T00:00:00Z
SRC-HS-0016,HS0016,C0016,HOME01,HOG000016,2023-04-10,active,2026-01-07T00:00:00Z
SRC-HS-0017,HS0017,C0017,HOME02,HOG000017,2023-05-10,active,2026-01-07T00:00:00Z
SRC-HS-0018,HS0018,C0018,HOME03,HOG000018,2023-06-10,active,2026-01-07T00:00:00Z
SRC-HS-0019,HS0019,C0019,HOME04,HOG000019,2023-07-10,active,2026-01-07T00:00:00Z
SRC-HS-0020,HS0020,C0020,HOME05,HOG000020,2023-08-10,active,2026-01-07T00:00:00Z
SRC-HS-0021,HS0021,C0021,HOME01,HOG000021,2023-09-10,active,2026-01-07T00:00:00Z
SRC-HS-0022,HS0022,C0022,HOME02,HOG000022,2023-10-10,active,2026-01-07T00:00:00Z
