source_row_id,invoice_id,account_id,invoice_month,amount,status,updated_at
SRC-INV-00001,INV00001,PA0001,2026-01-01,45.90,paid,2026-07-02T00:00:00Z
SRC-INV-00002,INV00002,PA0002,2026-02-01,59.90,paid,2026-07-02T00:00:00Z
SRC-INV-00003,INV00003,PA0003,2026-03-01,79.90,paid,2026-07-02T00:00:00Z
SRC-INV-00004,INV00004,PA0004,2026-04-01,99.90,paid,2026-07-02T00:00:00Z
SRC-INV-00005,INV00005,PA0005,2026-05-01,45.90,paid,2026-07-02T00:00:00Z
SRC-INV-00006,INV00006,PA0006,2026-06-01,59.90,paid,2026-07-02T00:00:00Z
SRC-INV-00007,INV00007,PA0007,2026-01-01,79.90,paid,2026-07-02T00:00:00Z
SRC-INV-00008,INV00008,PA0008,2026-02-01,99.90,paid,2026-07-02T00:00:00Z
SRC-INV-00009,INV00009,PA0009,2026-03-01,45.90,paid,2026-07-02T00:00:00Z
SRC-INV-00010,INV00010,PA0010,2026-04-01,59.90,paid,2026-07-02T00:00:00Z
SRC-INV-00011,INV00011,PA0011,2026-05-01,79.90,paid,2026-07-02T00:00:00Z
SRC-INV-00012,INV00012,PA0012,2026-06-01,99.90,paid,2026-07-02T00:00:00Z
SRC-INV-00013,INV00013,PA0013,2026-01-01,45.90,paid,2026-07-02T00:00:00Z
SRC-INV-00014,INV00014,PA0014,2026-02-01,59.90,paid,2026-07-02T00:00:00Z
SRC-INV-00015,INV00015,PA0015,2026-03-01,79.90,paid,2026-07-02T00:00:00Z
SRC-INV-00016,INV00016,PA0016,2026-04-01,99.90,paid,2026-07-02T00:00:00Z
SRC-INV-00017,INV00017,PA0017,2026-05-01,45.90,paid,2026-07-02T00:00:00Z
SRC-INV-00018,INV00018,PA0018,2026-06-01,59.90,paid,2026-07-02T00:00:00Z
SRC-INV-00019,INV00019,PA0019,2026-01-01,79.90,paid,2026-07-02T00:00:00Z
SRC-INV-00020,INV00020,PA0020,2026-02-01,99.90,paid,2026-07-02T00:00:00Z
SRC-INV-00021,INV00021,PA0021,2026-03-01,45.90,paid,2026-07-02T00:00:00Z
SRC-INV-00022,INV00022,PA0022,2026-04-01,59.90,paid,2026-07-02T00:00:00Z
SRC-INV-00023,INV00023,PA0023,2026-05-01,79.90,paid,2026-07-02T00:00:00Z
