source_row_id,recharge_id,line_id,recharge_date,channel,amount,updated_at
SRC-PR-00001,R00001,PL0001,2026-01-01,app,5.00,2026-07-01T00:00:00Z
SRC-PR-00002,R00002,PL0002,2026-02-02,store,10.00,2026-07-01T00:00:00Z
SRC-PR-00003,R00003,PL0003,2026-03-03,bank,15.00,2026-07-01T00:00:00Z
SRC-PR-00004,R00004,PL0004,2026-04-04,app,20.00,2026-07-01T00:00:00Z
SRC-PR-00005,R00005,PL0005,2026-05-05,store,25.00,2026-07-01T00:00:00Z
SRC-PR-00006,R00006,PL0006,2026-06-06,bank,5.00,2026-07-01T00:00:00Z
SRC-PR-00007,R00007,PL0007,2026-01-07,app,10.00,2026-07-01T00:00:00Z
SRC-PR-00008,R00008,PL0008,2026-02-08,store,15.00,2026-07-01T00:00:00Z
SRC-PR-00009,R00009,PL0009,2026-03-09,bank,20.00,2026-07-01T00:00:00Z
SRC-PR-00010,R00010,PL0010,2026-04-10,app,25.00,2026-07-01T00:00:00Z
SRC-PR-00011,R00011,PL0011,2026-05-11,store,5.00,2026-07-01T00:00:00Z
SRC-PR-00012,R00012,PL0012,2026-06-12,bank,10.00,2026-07-01T00:00:00Z
SRC-PR-00013,R00013,PL0013,2026-01-13,app,15.00,2026-07-01T00:00:00Z
SRC-PR-00014,R00014,PL0014,2026-02-14,store,20.00,2026-07-01T00:00:00Z
SRC-PR-00015,R00015,PL0015,2026-03-15,bank,25.00,2026-07-01T00:00:00Z
SRC-PR-00016,R00016,PL0016,2026-04-16,app,5.00,2026-07-01T00:00:00Z
SRC-PR-00017,R00017,PL0017,2026-05-17,store,10.00,2026-07-01T00:00:00Z
SRC-PR-00018,R00018,PL0018,2026-06-18,bank,15.00,2026-07-01T00:00:00Z
SRC-PR-00019,R00019,PL0019,2026-01-19,app,20.00,2026-07-01T00:00:00Z
SRC-PR-00020,R00020,PL0020,2026-02-20,store,25.00,2026-07-01T00:00:00Z
SRC-PR-00021,R00021,PL0021,2026-03-21,bank,5.00,2026-07-01T00:00:00Z
SRC-PR-00022,R00022,PL0022,2026-04-22,app,10.00,2026-07-01T00:00:00Z
SRC-PR-00023,R00023,PL0023,2026-05-23,store,15.00,2026-07-01T00:00:00Z
SRC-PR-00024,R00024,PL0024,2026-06-24,bank,20.00,2026-07-01T00:00:00Z
SRC-PR-00025,R00025,PL0025,2026-01-25,app,25.00,2026-07-01T00:00:00Z
SRC-PR-00026,R00026,PL0026,2026-02-26,store,5.00,2026-07-01T00:00:00Z
SRC-PR-00027,R00027,PL0027,2026-03-27,bank,10.00,2026-07-01T00:00:00Z
