source_row_id,site_id,region,technology,capacity_mb_day,commissioned_date,status,updated_at
network_sites-000001,ST-0001,coastal,5g,100000,2026-01-01,active,2026-01-01T00:00:00Z
network_sites-000002,ST-0002,coastal,4g,105000,2026-01-02,active,2026-01-01T00:17:00Z
network_sites-000003,ST-0003,coastal,4g,110000,2026-01-03,active,2026-01-01T00:34:00Z
network_sites-000004,ST-0004,central,4g,115000,2026-01-04,active,2026-01-01T00:51:00Z
network_sites-000005,ST-0005,south,4g,120000,2026-01-05,active,2026-01-01T01:08:00Z
network_sites-000006,ST-0006,central,4g,125000,2026-01-06,active,2026-01-01T01:25:00Z
network_sites-000007,ST-0007,coastal,4g,130000,2026-01-07,active,2026-01-01T01:42:00Z
network_sites-000008,ST-0008,north,5g,135000,2026-01-08,active,2026-01-01T01:59:00Z
network_sites-000009,ST-0009,central,4g,140000,2026-01-09,active,2026-01-01T02:16:00Z
network_sites-000010,ST-0010,north,5g,145000,2026-01-10,active,2026-01-01T02:33:00Z
network_sites-000011,ST-0011,south,4g,150000,2026-01-11,active,2026-01-01T02:50:00Z
network_sites-000012,ST-0012,north,4g,155000,2026-01-12,active,2026-01-01T03:07:00Z
network_sites-000013,ST-0013,coastal,4g,160000,2026-01-13,active,2026-01-01T03:24:00Z
network_sites-000014,ST-0014,central,4g,165000,2026-01-14,active,2026-01-01T03:41:00Z
network_sites-000015,ST-0015,south,4g,170000,2026-01-15,active,2026-01-01T03:58:00Z
network_sites-000016,ST-0016,coastal,4g,175000,2026-01-16,active,2026-01-01T04:15:00Z
network_sites-000017,ST-0017,coastal,5g,180000,2026-01-17,active,2026-01-01T04:32:00Z
network_sites-000018,ST-0018,south,4g,185000,2026-01-18,active,2026-01-01T04:49:00Z
network_sites-000019,ST-0019,coastal,5g,190000,2026-01-19,active,2026-01-01T05:06:00Z
network_sites-000020,ST-0020,south,5g,195000,2026-01-20,active,2026-01-01T05:23:00Z
network_sites-000021,ST-0021,south,5g,200000,2026-01-21,active,2026-01-01T05:40:00Z
network_sites-000022,ST-0022,south,4g,205000,2026-01-22,active,2026-01-01T05:57:00Z
network_sites-000023,ST-0023,south,5g,210000,2026-01-23,active,2026-01-01T06:14:00Z
network_sites-000024,ST-0024,coastal,4g,215000,2026-01-24,active,2026-01-01T06:31:00Z
network_sites-000025,ST-0025,coastal,5g,220000,2026-01-25,active,2026-01-01T06:48:00Z
network_sites-000026,ST-0026,south,5g,225000,2026-01-26,active,2026-01-01T07:05:00Z
network_sites-000027,ST-0027,north,4g,230000,2026-01-27,active,2026-01-01T07:22:00Z
network_sites-000028,ST-0028,central,4g,-1,2026-01-28,active,2026-01-01T07:39:00Z
network_sites-000029,ST-0029,north,5g,240000,2026-01-29,active,2026-01-01T07:56:00Z
network_sites-000030,ST-0029,coastal,5g,245000,2026-01-30,active,2026-01-01T08:13:00Z
