source_row_id,subscriber_id,plan_id,home_site_id,segment,region,activation_date,status,updated_at
subscribers-000001,SU-00001,PL-001,ST-0001,family,north,2026-01-01,active,2026-01-01T00:00:00Z
subscribers-000002,SU-00002,PL-002,ST-0002,consumer,central,2026-01-02,active,2026-01-01T00:17:00Z
subscribers-000003,SU-00003,PL-003,ST-0003,consumer,central,2026-01-03,active,2026-01-01T00:34:00Z
subscribers-000004,SU-00004,PL-004,ST-0004,family,coastal,2026-01-04,active,2026-01-01T00:51:00Z
subscribers-000005,SU-00005,PL-005,ST-0005,consumer,north,2026-01-05,active,2026-01-01T01:08:00Z
subscribers-000006,SU-00006,PL-006,ST-0006,business,south,2026-01-06,active,2026-01-01T01:25:00Z
subscribers-000007,SU-00007,PL-007,ST-0007,business,coastal,2026-01-07,active,2026-01-01T01:42:00Z
subscribers-000008,SU-00008,PL-008,ST-0008,family,south,2026-01-08,active,2026-01-01T01:59:00Z
subscribers-000009,SU-00009,PL-009,ST-0009,business,central,2026-01-09,active,2026-01-01T02:16:00Z
subscribers-000010,SU-00010,PL-010,ST-0010,consumer, CENTRAL ,2026-01-10,active,2026-01-01T02:33:00Z
subscribers-000011,SU-00011,PL-011,ST-0011,business,south,2026-01-11,active,2026-01-01T02:50:00Z
subscribers-000012,SU-00012,PL-012,ST-0012,business,north,2026-01-12,active,2026-01-01T03:07:00Z
subscribers-000013,SU-00013,PL-001,ST-0013,family,north,2026-01-13,active,2026-01-01T03:24:00Z
subscribers-000014,SU-00014,PL-002,ST-0014,business,north,2026-01-14,active,2026-01-01T03:41:00Z
subscribers-000015,SU-00015,PL-003,ST-0015,business,central,2026-01-15,active,2026-01-01T03:58:00Z
subscribers-000016,SU-00016,PL-004,ST-0016,family,central,2026-01-16,active,2026-01-01T04:15:00Z
subscribers-000017,SU-00017,PL-005,ST-0017,family,south,2026-01-17,active,2026-01-01T04:32:00Z
subscribers-000018,SU-00018,PL-006,ST-0018,consumer,north,2026-01-18,active,2026-01-01T04:49:00Z
subscribers-000019,SU-00019,PL-007,ST-0019,business,north,2026-01-19,active,2026-01-01T05:06:00Z
subscribers-000020,SU-00020,PL-008,ST-0020,family,south,2026-01-20,active,2026-01-01T05:23:00Z
subscribers-000021,SU-00021,PL-009,ST-0021,consumer,north,2026-01-21,active,2026-01-01T05:40:00Z
subscribers-000022,SU-00022,PL-010,ST-0022,family,south,2026-01-22,active,2026-01-01T05:57:00Z
subscribers-000023,SU-00023,PL-011,ST-0023,family,south,2026-01-23,active,2026-01-01T06:14:00Z
subscribers-000024,SU-00024,PL-012,ST-0024,family,coastal,2026-01-24,active,2026-01-01T06:31:00Z
