source_row_id,event_id,subscriber_id,site_id,event_time,usage_type,usage_value,usage_unit,charge_amount,updated_at
usage_events-000001,EV-0000001,SU-00001,ST-0001,2026-01-01T00:00:00Z,voice,498.0,minutes,4.41,2026-01-01T00:00:00Z
usage_events-000002,EV-0000002,SU-00002,ST-0002,2026-01-01T00:07:00Z,voice,105.9,minutes,0.64,2026-01-01T00:07:00Z
usage_events-000003,EV-0000003,SU-00003,ST-0003,2026-01-01T00:14:00Z,voice,458.2,minutes,4.36,2026-01-01T00:14:00Z
usage_events-000004,EV-0000004,SU-00004,ST-0004,2026-01-01T00:21:00Z,sms,402.2,messages,0.67,2026-01-01T00:21:00Z
usage_events-000005,EV-0000005,SU-00005,ST-0005,2026-01-01T00:28:00Z,data,479.8,mb,3.47,2026-01-01T00:28:00Z
usage_events-000006,EV-0000006,SU-00006,ST-0006,2026-01-01T00:35:00Z,voice,388.5,minutes,2.41,2026-01-01T00:35:00Z
usage_events-000007,EV-0000007,SU-00007,ST-0007,2026-01-01T00:42:00Z,voice,316.4,minutes,2.70,2026-01-01T00:42:00Z
usage_events-000008,EV-0000008,SU-00008,ST-0008,2026-01-01T00:49:00Z,data,125.1,mb,3.21,2026-01-01T00:49:00Z
usage_events-000009,EV-0000009,SU-00009,ST-0009,2026-01-01T00:56:00Z,data,352.8,mb,3.20,2026-01-01T00:56:00Z
usage_events-000010,EV-0000010,SU-00010,ST-0010,2026-01-01T01:03:00Z,voice,149.6,minutes,1.43,2026-01-01T01:03:00Z
usage_events-000011,EV-0000011,SU-00011,ST-0011,2026-01-01T01:10:00Z,data,461.2,mb,0.75,2026-01-01T01:10:00Z
usage_events-000012,EV-0000012,SU-00012,ST-0012,2026-01-01T01:17:00Z,data,205.3,mb,2.49,2026-01-01T01:17:00Z
usage_events-000013,EV-0000013,SU-00013,ST-0013,2026-01-01T01:24:00Z,data,63.4,mb,3.98,2026-01-01T01:24:00Z
usage_events-000014,EV-0000014,SU-00014,ST-0014,2026-01-01T01:31:00Z,voice,468.4,minutes,3.48,2026-01-01T01:31:00Z
usage_events-000015,EV-0000015,SU-00015,ST-0015,2026-01-01T01:38:00Z,voice,266.0,minutes,3.99,2026-01-01T01:38:00Z
usage_events-000016,EV-0000016,SU-00016,ST-0016,2026-01-01T01:45:00Z,voice,299.5,minutes,0.46,2026-01-01T01:45:00Z
usage_events-000017,EV-0000017,SU-00017,ST-0017,2026-01-01T01:52:00Z,sms,295.6,messages,1.38,2026-01-01T01:52:00Z
usage_events-000018,EV-0000018,SU-00018,ST-0018,2026-01-01T01:59:00Z,sms,343.0,messages,0.20,2026-01-01T01:59:00Z
usage_events-000019,EV-0000019,SU-00019,ST-0019,2026-01-01T02:06:00Z,data,58.6,mb,3.55,2026-01-01T02:06:00Z
usage_events-000020,EV-0000020,SU-00020,ST-0020,2026-01-01T02:13:00Z,data,372.9,mb,3.03,2026-01-01T02:13:00Z
usage_events-000021,EV-0000021,SU-00021,ST-0021,2026-01-01T02:20:00Z,sms,149.0,messages,2.73,2026-01-01T02:20:00Z
usage_events-000022,EV-0000022,SU-00022,ST-0022,2026-01-01T02:27:00Z,data,212.9,mb,4.78,2026-01-01T02:27:00Z
usage_events-000023,EV-0000023,SU-00023,ST-0023,2026-01-01T02:34:00Z,voice,390.2,minutes,4.02,2026-01-01T02:34:00Z
usage_events-000024,EV-0000024,SU-00024,ST-0024,2026-01-01T02:41:00Z,sms,142.6,messages,1.57,2026-01-01T02:41:00Z
usage_events-000025,EV-0000025,SU-00025,ST-0025,2026-01-01T02:48:00Z,sms,35.3,messages,4.42,2026-01-01T02:48:00Z
usage_events-000026,EV-0000026,SU-00026,ST-0026,2026-01-01T02:55:00Z,sms,18.5,messages,1.38,2026-01-01T02:55:00Z
usage_events-000027,EV-0000027,SU-00027,ST-0027,2026-01-01T03:02:00Z,voice,422.5,minutes,0.28,2026-01-01T03:02:00Z
usage_events-000028,EV-0000028,SU-00028,ST-0028,2026-01-01T03:09:00Z,voice,100.6,minutes,0.50,2026-01-01T03:09:00Z
usage_events-000029,EV-0000029,SU-00029,ST-0029,2026-01-01T03:16:00Z,data,1.4,mb,4.01,2026-01-01T03:16:00Z
